FRAME,NODE,NODE_X,NODE_Y,LABEL_X,LABEL_Y,USE
TOP,1,73,66,94,81,1
TOP,2,211,6,204,39,1
TOP,3,345,81,373,100,1
TOP,3,345,81,288,100,1
TOP,4,486,23,473,53,1
TOP,5,613,100,568,103,1
TOP,6,48,233,87,181,1
TOP,6,48,233,36,266,1
TOP,7,334,233,322,271,1
TOP,7,334,233,288,185,1
TOP,7,334,233,374,190,1
TOP,8,620,251,610,288,1
TOP,8,620,251,565,200,1
TOP,9,186,313,120,313,1
TOP,9,186,313,176,234,1
TOP,9,186,313,222,324,1
TOP,10,476,322,405,340,1
TOP,10,476,322,467,247,1
TOP,10,476,322,510,340,1
TOP,11,765,335,765,264,1
TOP,11,765,335,699,345,1
TOP,12,165,481,88,426,1
TOP,12,165,481,209,430,1
TOP,12,165,481,144,533,1
TOP,13,472,495,405,449,1
TOP,13,472,495,447,545,1
TOP,13,472,495,510,450,1
TOP,14,768,508,706,461,1
TOP,14,768,508,768,562,1
TOP,15,314,573,297,502,1
TOP,16,625,592,608,519,1
BOTTOM,6,186,611,168,648,1
BOTTOM,7,448,615,441,648,1
BOTTOM,8,718,625,705,658,1
BOTTOM,9,309,689,300,611,1
BOTTOM,9,309,689,257,699,1
BOTTOM,9,309,689,343,699,1
BOTTOM,10,583,690,570,616,1
BOTTOM,10,583,690,622,706,1
BOTTOM,10,583,690,525,704,0
BOTTOM,12,310,831,243,783,1
BOTTOM,12,310,831,338,783,1
BOTTOM,12,310,831,284,870,1
BOTTOM,13,591,837,527,790,1
BOTTOM,13,591,837,628,785,1
BOTTOM,13,591,837,572,879,1
BOTTOM,15,453,913,434,836,1
BOTTOM,15,453,913,385,927,1
BOTTOM,15,453,913,491,930,1
BOTTOM,16,746,912,730,836,1
BOTTOM,16,746,912,677,928,1
BOTTOM,17,43,689,65,689,1
BOTTOM,18,22,828,7,872,1
BOTTOM,18,22,828,57,781,1
BOTTOM,19,150,908,132,831,1
BOTTOM,19,150,908,195,919,1
BOTTOM,19,150,908,73,906,1
BOTTOM,20,148,1078,182,1037,1
BOTTOM,21,297,1171,277,1091,1
BOTTOM,22,460,1082,391,1031,1
BOTTOM,22,460,1082,497,1031,1
BOTTOM,22,460,1082,439,1130,1
BOTTOM,23,614,1173,592,1101,1
BOTTOM,24,760,1080,678,1036,1
